url,title,author,image,price,"old price","external id"
https://nemira.ro/povestea-vietii-mele-casanova-ebook,"Povestea vieții mele - Casanova (ebook)","Giacomo Casanova",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/a/casanova-povestea-vietii-mele.jpg,"22,49 lei","26,46 lei",3920
https://nemira.ro/adio-iubito-5958,"Adio, iubito! (ebook) ","Raymond Chandler",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/a/d/adio-iubito.jpg,"8,74 lei",,3729
https://nemira.ro/sfidarea-7886,"Jocurile foamei: Sfidarea (ebook, Trilogia Jocurile foamei, partea a II-a) ","Suzanne Collins",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/j/o/jocurile-foamei-sfidarea.jpg,"22,49 lei","26,46 lei",3727
https://nemira.ro/pretorianul-5962,"Pretorianul (ebook) ","Simon Scarrow",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/p/r/pretorianul_1.jpg,"22,49 lei","26,46 lei",3734
https://nemira.ro/magicienii-5987,"Magicienii (ebook, Seria Magicienii, partea I) ","Lev Grossman",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/m/a/magicienii_1.jpg,"21,70 lei","25,54 lei",3725
https://nemira.ro/ultimul-templier,"Ultimul templier (ebook) ","Raymond Khoury",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/u/l/ultimul-templier.jpg,"13,15 lei",,3732
https://nemira.ro/fereastra-de-sus-5959,"Fereastra de sus (ebook) ","Raymond Chandler",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/f/e/fereastra-de-sus_1.jpg,"8,74 lei",,3730
https://nemira.ro/istoria-sacra-6187,"Istoria sacră (ebook) ","Jonathan Black",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/i/s/istoria-sacra.jpg,"29,99 lei","35,29 lei",3721
https://nemira.ro/revolta-ebook,"Jocurile Foamei: Revolta (ebook, Trilogia Jocurile foamei, partea a III-a) ","Suzanne Collins",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/j/o/jocurile-foamei-revolta.jpg,"22,49 lei","26,46 lei",3728
https://nemira.ro/barbatii-sunt-niste-porci,"Bărbații sunt niște porci (ebook) ","Rodica Ojog-Brașoveanu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/b/a/barbatii-sunt-niste-porci_1.jpg,"18,68 lei","21,97 lei",3735
https://nemira.ro/jocurile-foamei,"Jocurile foamei (ebook, Trilogia Jocurile foamei, partea I) ","Suzanne Collins",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/j/o/jocurile-foamei_1.jpg,"22,49 lei","26,46 lei",3726
https://nemira.ro/salvarea-templierilor-5961,"Salvarea templierilor (ebook) ","Raymond Khoury",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/s/a/salvarea-templierilor.jpg,"17,56 lei",,3733
https://nemira.ro/delirium-5893,"Delirium (ebook) ","Lauren Oliver",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/d/e/delirium.jpg,"18,68 lei","21,97 lei",3724
https://nemira.ro/sora-cea-mica-7546,"Sora cea mică (ebook) ","Raymond Chandler",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/s/o/sora-cea-mica_1.jpg,"17,56 lei",,3731
https://nemira.ro/zen-si-arta-fericirii,"Zen și arta fericirii (ebook) ","Chris Prentiss",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/z/e/zen-si-arta-fericirii.jpg,"13,15 lei",,3722
https://nemira.ro/cartea-ceaiului-ebook,"Cartea ceaiului (ebook) ","Okakura Kakuzo",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/a/cartea-ceaiului.jpg,"18,74 lei","22,05 lei",2808
https://nemira.ro/culoarea-norocului-6114,"Culoarea norocului (ebook) ","Anca Fusariu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/u/culoarea-norocului_1.jpg,"18,74 lei","22,05 lei",3713
https://nemira.ro/2061-a-treia-odisee-5974,"2061: A treia odisee (ebook) ","Arthur C. Clarke",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/2/0/2061_-a-treia-odisee.jpg,"17,56 lei",,3745
https://nemira.ro/golul-visator-6026,"Golul visător (ebook, Trilogia golului, partea I) ","Peter F. Hamilton",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/g/o/golul-visator.jpg,"33,74 lei","39,70 lei",3763
https://nemira.ro/cainele-de-teracota-ebook,"Câinele de teracotă (ebook) ","Andrea Camilleri",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/c/a/cainele-de-teracota.jpg,"8,74 lei",,2850
https://nemira.ro/sa-facem-pace-pentru-un-progres-al-spiritului-ebook,"Să facem pace! Pentru un progres al spiritului (ebook) ","Dalai Lama",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/s/a/sa-facem-pace_-pentru-un-progres-al-spiritului.jpg,"3,44 lei",,3720
https://nemira.ro/antologia-viitorului-6220,"Antologia viitorului (ebook) ","Henry Gee",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/a/n/antologia-viitorului.jpg,"8,74 lei",,3754
https://nemira.ro/demon-omul-pictat-ebook,"Omul pictat (ebook, Seria Demon, partea I)","Peter V. Brett",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/o/m/omul-pictat_1.jpg,"29,99 lei","35,29 lei",3761
https://nemira.ro/sapte-povesti-de-vacanta-5946,"Șapte povești de vacanță (ebook) ","Alphonse Daudet",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/s/a/sapte-povesti-de-vacanta.jpg,"4,32 lei",,3718
https://nemira.ro/maree-stelara-6015,"Războiul elitelor: Maree stelară (ebook) ","David Brin",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/m/a/maree-stelara.jpg,"26,24 lei","30,87 lei",3752
https://nemira.ro/omul-si-umbra-5998,"Omul și umbra (ebook) ","Oscar Lemnaru",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/o/m/omul-si-umbra_1.jpg,"13,15 lei",,3769
https://nemira.ro/vulturul-dincolo-de-cornul-lunii,"Vulturul dincolo de cornul lunii (ebook) ","Rodica Ojog-Brașoveanu",https://nemira.ro/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/v/u/vulturul-dincolo-de-cornul-lunii.jpg,"13,15 lei",,3741
